,num,summary
0,017.txt,"Kenteris and compatriot Katerina Thanou were given provisional suspensions in December for failing to take drugs tests before the Athens Olympics.
Kenteris and Thanou withdrew from the Athens Olympics last August after missing drugs tests on the eve of the opening ceremony."
0,018.txt,"Teenager LaShawn Merritt ran the third fastest indoor 400m of all time at the Fayetteville Invitational meeting.
Kenyan Bernard Lagat missed out on the world record by 1.45secs as he ran the third quickest indoor mile ever to beat Canada's Nate Brannen by almost 10secs.
The Olympic silver medallist's time of three minutes 49.89secs was inferior only to the 1997 world record of Moroccan Hicham El Guerrouj and former world record holder Eamonn Coghlan of Ireland's 3:49.78."
0,019.txt,London Marathon organisers are hoping that banned athlete Susan Chepkemei will still take part in this year's race on 17 April.
0,020.txt,"World outdoor triple jump record holder and BBC pundit Jonathan Edwards believes Phillips Idowu can take gold at the European Indoor Championships.
""It's all down to him, but if he jumps as well as he did in Sheffield he could win the gold medal,"" said Edwards."
0,021.txt,"Kenya's athletics body has suspended two-time London Marathon runner-up Susan Chepkemei from all competition until the end of the year.
Global Sports Communications, Chepkemei's management company, said she had wanted to run in the World Cross Country Championships in March."
0,022.txt,"Britain's Kelly Holmes marked her first appearance on home soil since winning double Olympic gold with 1500m victory at the Norwich Union International.
Holmes hit the front just before the bell in front of a sell-out crowd in Glasgow and cruised to victory in a time of four minutes 14.74 seconds."
0,023.txt,"Greek sprinters Kostas Kenteris and Katerina Thanou have appeared before an independent tribunal which will decide if their bans should stand.
They were given provisional suspensions by athletics' ruling body the IAAF in December for failing to take drugs tests before the Athens Olympics.
Yiannis Papadoyiannakis, who was head of the Greek Olympic team at the Athens Games last year, also testified at the tribunal, along with other Greek sports officials and athletes.
The five-member tribunal, assembled by the Hellenic Association of Amateur Athletics, is also examining allegations that Kenteris and Thanou avoided tests in Tel Aviv and Chicago before the Games."
0,024.txt,"Race director Matthew Turnbull said: ""Susan will add even more strength in depth to the world-class line up."" Chepkemei, who won the six kilometre event three years ago when it was staged in Newcastle, endured an epic battle with Radcliffe in the Big Apple until the Briton outsprinted her in the final 400m."
0,025.txt,"Double Olympic champion Hicham El Guerrouj is set to make a rare appearance at the World Cross Country Championships in France.
But the Moroccan, who has not raced over cross country for 15 years, will not decide until two weeks before the event which starts on 19 March."
0,026.txt,Sprinter Michelle Collins has lodged an appeal against her eight-year doping ban with the North American Court of Arbitration for Sport (CAS).
0,027.txt,"The Briton, made a dame in the New Year Honours List for taking 800m and 1,500m gold, won vital votes from the public, press and EAA member federations."
0,028.txt,"The 31-year-old, who won Olympic 200m silver in Sydney in 2000, said during the Games that a hamstring injury had stopped him from running at his best.
""To go to Athens and finally get the gold I've been trying to get for 24 years was a big relief,"" said Campbell.
""It's just unfortunate that I picked up that injury just before the Olympics."" Campbell set his 100m personal best of 10.04secs when he won the European title in Budapest in 1998."
0,029.txt,Olympic pole vault champion Yelena Isinbayeva has confirmed she will take part in the 2005 Norwich Union Grand Prix in Birmingham on 18 February.
0,030.txt,"But come late August, a few hot days in the magnificent stadium in Athens told us of the true strength of Irish athletics - or to be more accurate, the lack of it.
Sonia O'Sullivan's Olympic farewell apart, there was little to stir the emotions of Irish athletics watchers.
At the start of the year, an O'Sullivan had been earmarked as Ireland's best medal prospect but as it turned out, walker Gillian never even made it to the start line because of injury.
Once the track and field action began in Athens, a familiar pattern of underachievement emerged although Alistair Cragg's performance in being the only athlete from a European nation to qualify for the 5,000m final did offer hope for the future.
At the start of the year, several Northern Ireland athletes had genuine hopes of qualifying for the Games but come August, an out-of-form and injured Paul Brizzel was the lone standard bearer for the province."
0,031.txt,"He told the Herald newspaper: ""I'm not in great shape, after missing about a month of training."
0,032.txt,"Olympic 10,000m champion Kenenisa Bekele is determined to add the world indoor two mile record at February's Norwich Union Grand Prix in Birmingham.
The 22-year-old will again be chasing a record held by his compatriot and mentor Haile Gebrselassie, who set the mark at the same meeting in 2003."
0,033.txt,"Greek sprinters Kostas Kenteris and Katerina Thanou have been suspended after failing to take drugs tests before the Athens Olympics.
Athletics' ruling body the IAAF said explanations from the pair and their former coach as to why they missed the tests were ""unacceptable"".
Kenteris, the 2000 Olympic 200m champion, and Thanou, the women's 100m silver medallist from the same Games in Sydney, also face a criminal hearing in Greece over the missed tests."
0,034.txt,"Well, it's goodbye to another Olympic year and as usual there were plenty of highs and lows in Athens.
The victory for the British men's 4x100m relay team was a bit of a surprise but a great climax to the Games.
What happened to Paula in Athens this year is the obvious low on a personal level and for the expectations of the nation as well.
And if even the smallest thing doesn't feel right when you are preparing to race a marathon, 10 miles down the road it will hit you like a brick wall.
The positive thing to take from Paula's Olympics it that she will have learned a lot from it and so will a lot of people - including me.
Purely as a race, Paula's victory in the New York Marathon has to go down as one of the most thrilling.
And that's where things begin to look even gloomier for British athletics as we did not win any medals at the world junior championships in Italy.
The thing is if we don't have athletes getting into the finals at junior level then it really doesn't look good for the Beijing Olympics and beyond.
And one of the positive things to come out of Balco is people are starting to blow the whistle."
0,035.txt,"Sprinter Michelle Collins has received an eight-year ban for doping offences after a hearing at the North American Court of Arbitration for Sport (CAS).
Collins' ban is a result of her connection to the federal inquiry into the Balco doping scandal.
""Collins used these substances to enhance her performance and elude the drug testing that was available at the time."" So far a total of 13 athletes have been sanctioned for violations involving drugs associated with the Balco doping scandal."
0,036.txt,"Jones, who says she is innocent, could lose all her Olympic medals after Conte said he gave her performance-enhancing drugs before the Sydney Olympics.
The Sydney Olympics ended more than four years ago, but World Anti-Doping Agency chief Dick Pound said the rule may not apply because the allegations are only coming out now."
0,037.txt,"Former Olympic champion Michael Johnson has accused Britain's top sprinters of lacking pride and ambition.
""Athletics at the moment is all about international competitions and they need to show a little more pride."" However, Linford Christie countered: ""It's easy to criticise when you haven't gone through the system here."" Johnson was involved in a verbal spat with Britain's Darren Campbell earlier this year."
0,038.txt,"A win in the New York marathon doesn't make up for the disappointment of Athens in any shape or form, but it will offer hope and reassurance for next year.
If Paula's last experience of the year had been Athens, it would have been very difficult to look forward with any optimism.
And a lot of people were wondering what would happen if Paula was forced to drop out of this race, as she did in the marathon and 10,000m in Athens.
Now Paula will take part in the Run London 10km race in London at the end of the year, have a well-earned rest over Christmas and go into next year with a lot of optimism."
0,039.txt,World Anti-Doping Agency (WADA) chief Dick Pound says Marion Jones should be stripped of all her medals if found guilty of taking banned substances.
0,040.txt,"Paula Radcliffe faces arguably the biggest test of her career in the New York City Marathon on Sunday.
Back under the spotlight of public scrutiny she will attempt to erase the double disappointment of the Athens Olympics, where she failed to finish the marathon and then the 10,000m.
""She must not get caught up in someone else's agenda."" Radcliffe's best friend and fellow distance runner Liz Yelling revealed the 30-year-old is already aware she will be exposing herself to more public scrutiny in New York.
Radcliffe described her decision to enter the New York marathon as ""impulsive"" but she is certain to have a tick-list of personal goals.
Radcliffe has never raced there before and will enter the unknown just 77 days after the Athens marathon.
So physically it is possible for Paula."" Richards also points out conditions in New York will be more conducive to a strong physical display from Radcliffe.
And Richards and Yelling agree she could turn the trauma to her advantage, starting in New York."
0,041.txt,"American Olympic stars Justin Gatlin and Joanna Hayes have been named the winners of the 2004 Jesse Owens Awards, USA Track & Field's (USATF) top honour.
Established in 1981, the Jesse Owens Awards - named in honour of the late Olympic great who won four gold medals at the 1936 Berlin Games - are presented annually to the outstanding US male and female track and field performers."
0,042.txt,"The Briton, running for the first time since dropping out of the Olympic marathon and 10,000m, held off Kenyan Susan Chepkemei in a thrilling finish.
But it was Radcliffe who managed to dredge up a final sprint to see off Chepkemei in the closest finish in the race's history and in the process make a huge step in erasing the disappointment she suffered in Athens."
0,043.txt,"UK Athletics has ended its search for a new performance director by appointing psychologist Dave Collins.
Six candidates were interviewed for the job, including Denise Lewis' coach Charles van Commenee and former British triple jumper Keith Connor.
He is currently professor of physical education and sport performance at Edinburgh University, where he helps competitors across many sports, including rugby, athletics, judo and football.
He has specialised in helping competitors fulfil their potential through psychology and has worked with the Great Britain women's curling team, who won gold at the 2002 Winter Olympics."
0,044.txt,"Banned American sprinter Kelli White says she knowingly took steroids given to her by Bay Area Lab Co-Operative (Balco) president Victor Conte.
But she added: ""It was my decision to go to him, not anybody else's."" White said Conte at first told her the substance was flaxseed oil, only to change his story later."
0,045.txt,"A US judge has set a preliminary trial date for the Balco steroid distribution case which has rocked athletics.
And she set a March date for the case of the four men accused of distributing illegal performance-enhancing drugs to elite athletes to be heard.
The judge said that she may conduct hearings in January into whether federal agents illegally searched the Balco headquarters and wrongfully obtained statements from the company's founder Victor Conte and its vice-president James Valente."
0,046.txt,"Paula Radcliffe has called for all athletes found guilty on drugs charges to be treated as criminals.
The marathon world record holder believes more needs to be done to rid athletics of the ""suspicions and innuendoes"" which greet any fast time."
0,047.txt,"Greek sprinter Kostas Kenteris has denied claims that he faked a motorbike crash to avoid a doping test days before the start of the Olympics.
I want to go to the end and then we'll see who's right and who isn't."" Kenteris, a Greek hero after winning gold in the 200m at the 2000 Olympics in Sydney, also confirmed that he was due to light the flame at the Athens opening ceremony."
0,048.txt,"Kostas Kenteris and Katerina Thanou will fight the provisional two-year bans imposed on them by the IAAF at an independent tribunal this weekend.
Athletics' ruling body took action against the pair for failing to take drugs tests before the Athens Olympics.
Kenteris and Thanou also face criminal charges in Greece for allegedly faking the motorcycle accident."
0,049.txt,"Marion Jones has filed a lawsuit for defamation against Balco boss Victor Conte following his allegations that he gave her performance-enhancing drugs.
Her lawsuit, filed in the US District Court in San Francisco, said the sprinter had passed a lie detector test and that she ""has never taken banned performance-enhancing drugs"".
""Mr Conte chose to make unsubstantiated allegations on television, while Marion Jones demanded to take and then passed a lie detector examination.
We challenge him to submit to the same lie detector procedure that Marion Jones passed."" The sport's ruling body, the IAAF, is taking a cautious approach to Conte's allegations but contacted the US Anti-Doping Agency."
0,050.txt,"The Greek pair were charged after missing a series of routine drugs tests in Tel Aviv, Chicago and Athens.
Kenteris and Thanou already face a criminal trial after being charged with avoiding a drug test on the eve of the Athens Olympics and then faking a motorcyle crash."
0,051.txt,"Greek sprinters Kostas Kenteris and Katerina Thanou are expected to find out on Wednesday if they will be banned for missing drugs tests this summer.
The Greek authorities have also brought criminal charges against the sprinters for avoiding a drugs test and faking an accident.
The sport's ruling body is expected to direct the Greek federation in what action it should take against the sprinters."
0,052.txt,Holmes will make her first track appearance on home soil since winning double Olympic gold in January's Norwich Union International in Glasgow.
0,053.txt,"Double Olympic 10,000m champion Haile Gebrselassie will race in the London Marathon for the next three years."
0,054.txt,"Katerina Thanou is confident she and fellow sprinter Kostas Kenteris will not be punished for missing drugs tests before the Athens Olympics.
""We believe that we have presented [a case] that the charges are unreasonable."" Thanou, the 2000 Olympic women's 100m silver medallist, and Sydney 200m champion Kenteris were suspended by the IAAF for missing three drugs tests.
As far as I am concerned there is no such issue [of refusing to be tested], and I am very optimistic."" Tzekos, Thanou and Kenteris, who have all denied the charges, can expect a decision within a month."
0,055.txt,"Kelly Holmes has been forced out of this weekend's European Indoor Athletics Championships after picking up a hamstring injury during training.
After that race and more progress in training, Holmes revealed she had decided to compete at the European Indoors before her plans were wrecked last weekend."
0,056.txt,"""She looked very good early in the season and was competing really well."" Kluft showed impressive early-season form on Tuesday in Stockholm's GE Galan meeting, winning the sprint hurdles, the long jump and the 400m."
0,057.txt,"Last April, Kelly Holmes spoke to the BBC Sport website about her loneliness, her fight to stay fit and her decision not to contest both the 800m and 1500m at the Olympics.
Four months later, Holmes stormed to double Olympic gold and has since been made a Dame, won the BBC Sport Personality of the Year and written a book whilst still finding time to coach aspiring athletes.
But should we be surprised if the Olympic champion over both those distances decides she just does not feel like racing anymore?
""Well, it's a lot easier being the double Olympic champion, being feted by everybody, than training to be at the top in middle distance running,"" points out former Olympian and BBC pundit Steve Cram.
The physical demands of the day-to-day grind will only get harder for Holmes, who has already admitted she ""doesn't like the training anymore."" Whilst out on the circuit the allure of defeating a double Olympic champion will spur her opponents on.
""You don't get the chance very often in your career to step onto the track as the double Olympic champion,"" agreed Cram.
Athletics fans had every reason to believe they would see the new-look Kelly Holmes tearing up the track again."
0,058.txt,"Jason Gardener fought all the way to the line to narrowly claim the men's 60m title at the Norwich Union Indoor trials and AAAs Championships.
The world 60m champion got off to a rolling start and had to dig deep to dip ahead of Mark Findlay and Darren Chin, who both set personal bests.
""I still feel there's more life in me and I believe I can go faster."" Gardener's performance in Sheffield could have been affected by the news, which he heard before his semi-final, that his European record had been broken Frenchman Ronald Pognon, who will be a real threat at the European Championships, set a new time of 6.45, one-hundreth of a second faster than Gardener's previous mark.
The 25-year-old set a new British record for the second time in seven days, clocking 7.96 seconds to finish ahead of rival Diane Allahgreen.
""All the years I've been running and I'm getting recognition."" Claxton's time was also good enough to qualify for the European Championships.
also set a new championship mark in the men's triple jump title in Sheffield.
The 21-year-old ran a personal best of 53.45 seconds to win her first indoor title.
cleared the required 1.90m to qualify for the European championships and claim the AAAs title in the women's high jump.
powered to a new personal best of seven minutes, 56.86 seconds to defend his AAAs title in style.
It was the first time in 11 years the eight-minute barrier has been broken at the championships and was just within the European mark."
0,059.txt,"It was good to see athletes beginning to make steps forward, to see a few new faces and there were lots of personal bests kicking around.
Running sub-eight seconds twice in a week puts her right up there and if she repeats that in Madrid she will be close to picking up a medal.
Diane Allahgreen has been our best hurdler for some time now and I think she was surprised to be beaten by Sarah.
And knowing that she got the better of Diane in a head-to-head race will give Sarah confidence.
In fact, the men's 60m hurdles is so strong, I think the selectors will pick three hurdlers to go to Madrid.
A lot of the athletes said the runway was not very helpful, so for Phillips to jump like that is a good performance.
She picked up three personal bests in the long jump, high jump and 60m hurdles and you can't ask for more than that."
0,060.txt,"Meanwhile, Paul Brizzel and Anna Boyle reached the semi-finals of the 60m hurdles with Boyle setting a season's best of 7.48.
Gillick was more than half-a-second clear when taking gold in 46.45 - .02 outside his personal best set in Saturday's semi-finals.
James Nolan (3:46.04) took second in the men's 1500m behind Neil Speaight (3:45.86) but the Offaly man was outside the European Indoor standard."
0,061.txt,"Jade Johnson edged out rival Kelly Sotherton with her last effort to claim the AAAs long jump title at the Norwich Union European Indoor trials.
comfortably defended her 3,000m title, clocking eight minutes, 49.87 seconds to easily surpass the European qualifying mark.
Helen Clitheroe was agonisingly close to the 9:05.00 qualifying mark as she claimed the runners-up spot in a personal best of 9:05.73.
Fraser became the fastest British woman over the distance this season when she qualified for the final in 23.68 seconds - though that time is outside the European standard.
But Deacon claimed her first AAAs title over the distance, edging Fraser into second in 23.67.
claimed the men's shot put title with a throw of 17.64m, which was below the qualifying mark.
Sale's Robert Mitchell climbed to a season's best of 2.20m - just 3cm short of the European standard - to claim the British indoor high jump title."
0,062.txt,"Ballymena sprinter Paul Brizzel will be among eight of Ireland's European Indoor hopefuls competing in this weekend's AAA's Championships.
In-form James McIlroy will hope to confirm his place in the British team for Madrid by winning the 800m title."
0,063.txt,"Double Olympic gold medallist Holmes has strongly hinted she will not run in this year's Worlds and is undecided about next month's European Indoors.
But the controversy has since been forgotten, with Ceplak acting as pacemaker for Holmes' failed attempt on the British Indoor 1500m record at the Norwich Union Grand Prix in Birmingham in 2003."
0,064.txt,"James McIlroy stormed to his second international victory in less than a week, claiming the men's 800m at the TEAG indoor meeting in Erfurt.
The Northern Ireland runner set a new personal best of one minute, 46.68 seconds - a time good enough to qualify for the European Indoor Championships."
0,065.txt,"The Bedford star returned to London 12 months later, lowering her mixed-race world record of 2:17:18, which she set in Chicago in October 2003, by one minute 53 secs.
But the 31-year-old bounced back to win the New York Marathon in November.
""Boston is definitely a race I want to do at some point, but London is very special to me,"" said Radcliffe."
0,066.txt,"Kelly Holmes finally fulfilled her potential by storming to double gold on the track at the Olympic Games.
Holmes helped erase the gloom hanging over Team GB after their biggest medal hope, Paula Radcliffe, dropped out of the marathon and then the 10,000m.
Holmes had started the year in disappointing style, falling over in the final of 1500m at the World Indoor Championships where she was favourite.
The 30-year-old marathon world record holder went into the Athens event as favourite but an exhausted Radcliffe dropped out after 23 miles in tears.
Gardener added the Olympic relay crown to his World Indoor title over 60m and, just like Holmes, finally lived up to his promise in 2004.
Kelly Sotherton completed Team GB's athletics medal haul in Athens with a surprise bronze in the heptathlon.
The battling 35-year-old leaves the sport with a vast medal haul including two silvers and one Olympic bronze.
Britain's 4x100m team took gold without the services of Dwain Chambers, who was handed a two-year ban in February after testing positive for steroid THG."
0,067.txt,Lewis-Francis eyeing world gold
0,068.txt,"Kelly Holmes has been chosen for both the 800m and 1500m at next month's European Indoor Championships - despite not yet confirming her availability.
The double-Olympic champion is still undecided about whether to compete in her first European Indoors in Madrid.
It could depend on how training goes and she will have to be close to top form."" And he admitted Holmes' presence would be a great boost to the rest of the Norwich Union GB team.
60m: D Chin (Belgrave Harriers), J Gardener (Wessex and Bath), M Lewis-Francis (Birchfield Harriers).
T Abeyie (Woodford Green with Essex Ladies), C Lambert (Belgrave Harriers).
D Cossins (Birchfield Harriers), R Davenport (Gloucester AC), D Garland (Channel Islands AC), R Preddy (Gloucester AC), G Warburton (Cardiff AAC).
H Clitheroe (Preston Harriers), K Holmes (Ealing, Southall and Middlesex AC).
J Crane (Sale Harriers Manchester), S Jones (Trafford AC).
K Sotherton (Birchfield Harriers)."
0,069.txt,"Double Olympic champion Kelly Holmes was back to her best as she comfortably won the 1,000m at the Norwich Union Birmingham Indoor Grand Prix.
The 34-year-old, running only her second competitive race of the season, shook off the rust to win in two minutes, 35.39 seconds.
The Olympic champion set a new world mark of 4.88m to break her own record - which she set just six days ago - and beat Russian rival Svetlana Feofanova.
The Olympic champion set a new indoor personal best of 22.38 seconds - the fastest time in the world this season.
The 25-year-old Briton clocked 7.98 seconds while pre-European Championships favourite Russian Irina Shevchenko finished down in sixth.
The Olympic 5,000m champion was inside record pace but dropped off over the final third, finishing in eight minutes, 33.05 seconds - the fourth fastest time ever recorded for the event.
World indoor champion, Alleyne Francique, faded badly and finished in fourth while American duo Jerry Harris and James Davis took second and third respectively.
The Olympic heptathlon gold medallist reached 6.66m to better Johnson's mark of 6.52m - her second personal best inside a week.
won the men's event with a season's best of 7.95m, taking the scalp of world indoor champion Savante Stringfellow of the USA."
0,070.txt,"Yelena Isinbayeva may have produced another world pole vault record, but her achievement could not hide the fact it was not the best meet we have ever seen in Birmingham.
And hey, there are not many meets that go by without the Russian breaking a world record.
Agnes Samaria, who came second, is in very good shape and is in the world's top three 800m runners this season.
On the other hand, I think Jason Gardener is struggling to come near what is going to be required to win the men's 60m in Madrid.
But I haven't seen anything from Mark or Jason yet which suggests France's Ronald Pognon - who has run 6.45 seconds - will be under threat at the Europeans.
But he has only just come over from the USA, so he may not be that sharp and I still think he is in great shape."
0,071.txt,"The Birmingham athlete, who clocked a season's best of 6.61 seconds over 60m in Birmingham last week, also prefers to focus his attentions on next month's European Indoor Championships."
0,072.txt,"It was back to official duties last week in my role as an ambassador to London's 2012 Olympic bid.
All the sporting people on the capital's bid team think I'm mad to be taking part in the London Marathon.
Even though it was a very busy week entertaining the International Olympic Committee's (IOC) Evaluation Commission, I actually found my running schedule easier to follow.
On Wednesday, the presentations to the IOC team did not finish until the early evening, so I just managed to squeeze in a 45-minute run.
And because it was a rest day I didn't have to feel bad about missing my training either."
0,073.txt,"Jade Johnson is undecided about whether to contest next month's European Indoor Championships in Madrid despite winning the AAAs long jump title on Saturday.
""I will have to see how I am jumping in the next competition and I'll have to have a conversation with my coach."" Johnson, who finished seventh in last year's Olympic Games, has not competed indoors since 2000."
0,074.txt,Jo Pavey will miss January's View From Great Edinburgh International Cross Country to focus on preparing for the European Indoor Championships in March.
0,075.txt,"Britain's Jason Gardener enjoyed a double 60m success in Glasgow in his first competitive outing since he won 100m relay gold at the Athens Olympics.
edged out Russia's Olga Fedorova and Sweden's Jenny Kallur to win the women's 60m race in 7.23secs.
Russia won the meeting with a final total of 63 points, with Britain second on 48 and France one point behind in third.
won the men's 400m, with Brett Rund fourth for Britain.
took victory for Sweden in the women's 60m hurdles ahead of Russia's Irina Shevchenko and Britain's Sarah Claxton, who set a new personal best.
A botched changeover in the 4x200m relay cost Britain's men the chance to add further points as France claimed victory."
0,076.txt,"World 5000m champion Eliud Kipchoge won the 9.2km race at the View From Great Edinburgh Cross Country.
In the women's race, Ethiopia's Tirunesh Dibaba won a battle with world cross country champion Benita Johnson to retain her title."
0,077.txt,European cross-country champion Hayley Yelling completed a hat-trick of wins in the Reebok Cardiff Cross Challenge in Bute Park on Sunday afternoon.
0,078.txt,"Butler said of her success: ""I felt great throughout the race and hope this is a good beginning for a marvellous 2005 season for me."" Elsewhere, Abebe Dinkessa of Ethiopia won the Brussels IAAF cross-country race on Sunday, completing the 10,500m course in 33.22."
0,079.txt,"The World Anti-Doping Agency (Wada) will appeal against the acquittal of Kostas Kenteris and Katerina Thanou on doping charges, if the IAAF does not.
Kenteris, 31, and Thanou, 30, had been charged with avoiding drugs tests in Tel Aviv, Chicago and Athens and failing to notify anti-doping officials of their whereabouts before the Olympics."
0,080.txt,"The careers of sprinters Kostas Kenteris and Katerina Thanou are over, says the boss of the organisation that cleared them of missing a drugs test.
Speaking to the Greek Parliament on Tuesday, Sevastis said that the evidence sent by the International Olympic Committee and athletics governing body the IAAF was not strong enough for the Greek Association to find the sprinters guilty."
0,081.txt,"Now the IAAF will lodge an appeal with the Court of Arbitration for Sport (CAS) and has suspended both athletes.
An IAAF statement said: ""The Doping Review Board concluded that the decision is erroneous."" The statement continued: ""Both athletes' cases will be refered to arbitration before the CAS.
Kenteris, who won Olympic 200m gold at the 2000 Olympics, and Thanou were suspended by the IAAF last December after failing to take routine drugs tests before the Athens Games."
0,082.txt,"The duo had been provisionally suspended by the IAAF for allegedly missing three drugs tests, including one on the eve of the Athens Olympics.
But the Greek Athletics Federation tribunal has overturned the bans - a decision which the IAAF can now contest at the Court of Arbitration for Sport.
Kenteris, 31, and Thanou, 30, had been charged with avoiding drug tests in Tel Aviv, Chicago and Athens and failing to notify anti-doping officials of their whereabouts before the Olympics.
""This evidence shows Mr Kenteris was never asked to submit to a test by the International Olympic Committee so he could not possibly have been guilty of deliberately avoiding one."
0,083.txt,Butler and Yelling finished fourth and fifth as Australian world champion Johnson romped to a five-second victory in the 6km race ahead of Edith Masai.
0,084.txt,Holmes will make her first track appearance on home soil since winning double Olympic gold in January's Norwich Union International in Glasgow.
0,085.txt,"Two-time Olympic 10,000 metres champion Derartu Tulu has confirmed she will take part in the BUPA Great Caledonian Run in Edinburgh on 8 May."
0,086.txt,"Allan Scott is confident of winning a medal at next week's European Indoor Championships after a solid debut on the international circuit.
I got a poor start - but I still felt I should have ran faster."" Vivancos slashed his personal best to equal the Spanish record with a time of 7.60secs while Kronberg and Dorival clocked 7.62secs and 7.63secs respectively."
0,087.txt,Yelling clinched the women's European cross country title last month and Pavey followed up with bronze.
0,088.txt,"Marion Jones has filed a lawsuit for defamation against Balco boss Victor Conte following his allegations that he gave her performance-enhancing drugs.
Her lawsuit, filed in the US District Court in San Francisco, said the sprinter had passed a lie detector test and that she ""has never taken banned performance-enhancing drugs"".
""Mr Conte chose to make unsubstantiated allegations on television, while Marion Jones demanded to take and then passed a lie detector examination.
We challenge him to submit to the same lie detector procedure that Marion Jones passed."" The sport's ruling body, the IAAF, is taking a cautious approach to Conte's allegations but contacted the US Anti-Doping Agency."
0,089.txt,"Thanou, 30, was provisionally suspended for missing a test before the Olympics, but the decision was overturned.
""If given the green light I will run again - that's the only thing I want."" Thanou, 30, and her compatriot Kostas Kenteris were provisionally suspended by the IAAF in December for missing three drugs tests.
The IAAF - which said it was ""very surprised"" by the decision of the Greek tribunal - is deciding whether to appeal against the decision at the Court of Arbitration for Sport."
